##name	Sample: English-Deutsch FreeDict+WikDict dictionary
##input_file_size	15117
##edition	2020.02.08
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Karl Bartel
##creationTime	2020-02-08
##description	Automatic creation of this bilingual dictionary by <a href="http://www.wikdict.com/">WikDict</a>.\nBase data from <a href="https://www.wiktionary.org/">Wiktionary.org</a> via <a href="http://kaiko.getalp.org/about-dbnary/">DBnary</a>.\nThis dictionary comes to you through nice people\nmaking it available for free and for good. It is part of\nthe FreeDict project, http://www.freedict.org/. This\nproject aims to make available many translating\ndictionaries for free. Your contributions are welcome!
##sourceLang	English
##targetLang	German
&	<div>conjunction<br>abbreviation of and<br>u.</div>
-'s	<div>/s/, /z/, /əz/, /ɪz/<br>\nparticle<br>possessive marker<br>-s, der, des, von</div>
able	<div>/ə.bl̩/<br>\nsuffix<br><ol><li>bar</li><li>able to be done<br>bar, abel</li><li>expressing capacity or worthiness in a passive sense<br>wert</li></ol></div>
aemia	<div>suffix<br>condition of the blood<br>ämie</div>
amine	<div>suffix<br>an amine<br>amin</div>
an	<div>suffix<br>of or pertaining to<br>isch</div>
ane	<div>/eɪn/<br>\nsuffix<br>alkanes<br>an</div>
ation	<div>suffix<br>-ation (suffix)<br>ation, ierung</div>
caine	<div>suffix<br>a synthetic alkaloid used as an anesthetic<br>cain</div>
centric	<div>suffix<br>having a specified number of centres<br>zentrisch</div>
cide	<div>/-saɪd/<br>\nsuffix<br><ol><li>killer of<br>örder</li><li>killing of<br>zid, ord</li></ol></div>
cracy	<div>/-kɹəsi/<br>\nsuffix<br>rule<br>kratie</div>
cratic	<div>/ˈkɹætɪk/<br>\nsuffix<br>suffix forming adjectives related to -cracy/-crat<br>kratisch</div>
cyte	<div>/-saɪt/<br>\nsuffix<br>cell names and classifications<br>zyt</div>
diene	<div>suffix<br><ol><li>diene</li><li>polymer of a diene</li></ol>dien</div>
