##name	Sample: Aryanpour (2021) (en-fa, fa-en)
##input_file_size	29885
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
a	/ǝ/\n\nصفت،  indefinite article\n(پیش از واژه‌هایی که با حرف صدادار آغاز می‌شوند تبدیل به an می‌شود)یک، یک عدد، - ی (یای نکره یا وحدت)I see a manمردی را می‌بینم.once a dayروزی یکبارa Mr. Smith called you yesterdayمردی به نام آقای اسمیت دیروز به شما تلفن زد.an appleیک سیبa cityیک شهرa hundred and fifty thousandیکصد و پنجاه هزارهر، هر یک* a fewمعدودی، چندتا، چند عدد* a good (or great) manyبسیار، خیلی، زیادa good many of them were sickتعداد کثیری از آنها بیمار بودند.
A	/ā/\n\nاسم،  صفت\nگروه خونی آ (رجوع شود به:ABO system)نمرهٔ الف(موسیقی) نت ششم در گام لا ماژور Cدرجهٔ یک، عالی، سرحال، معرکه، قبراق، سالم
a	/ǝ/\n\nپیشوند\nدر، به، دروندر حال، مشغولبدون، فاقد، ابی -، بی -، نا [amoral]
a cappella	/ä´kǝ pel´ǝ/\n\nآواز بدون همراهی موسیقی (به ویژه آواز کلیسایی)
a capriccio	/ä´kǝ prē´chō/\n\n(موسیقی - آهنگ یا آوازی که به دلخواه نوازنده یا خواننده اجرا می‌شود) آکاپریچو
a deux	/å dö´/\n\n(فرانسه)دو نفره، دو نفریخودمانی، در خلوت
a fortiori	/ā´ fôr´shē ôr´ī´/\n\nمستدل‌تر، منطقی‌تر، اولی‌ترif four divided by two is two, two plus two is afortiori fourاگر چهار تقسیم بر دو می‌شود دو، پس پرواضح است که دو و دو می‌شود چهار.the man of prejudice is, afortiori, a man of limited mental visionپر واضح است که آدم متعصب، بینش ذهنی محدودی نیز دارد.
a k a	/ā´kā´ā´/\n\nمخفف\nبه این نام هم شناخته می‌شود، به نام مستعار (مثل نام‌هایی که در پرونده‌های پلیسی ذکر می‌شود)
a la carte	/ä´lǝ kärt´/,  /al´ǝ-/\n\n(فرانسه) غذای رستوران که قیمت جداگانه دارد (با table d'hote مقایسه شود)
a la mode	/al´ǝ mōd´/,  /ä´lǝ-/\n\n(فرانسه)به مد روز، شیک، متداولغذای تهیه شده به روش مخصوص (alamode هم می‌نویسند)cake a la modeکیک مخصوص
A level	(انگلیس) مرحلهٔ دوم و پیشرفته‌تر امتحانات دورهٔ متوسطه (که معمولا دو سال بعد از امتحان اول انجام می‌شود) (رجوع شود به:O level)، قبولی در این امتحانات (A-level هم می‌نویسند)
A one	/ā´ wun´/\n\n(در اصل) روش برآورد ارزش کشتی‌ها: "A" مبین خوبی و استحکام بدنه است و "one" مبین خوبی وسایل و موتور کشتی(عامیانه) عالی، درجه یک (A1 و A number 1 هم می‌نویسند)
a|A	/ā/\n\nاسم،  جمع\nحرف اول الفبای انگلیسیهر یک از اصواتی که این حرف در زبان انگلیسی دارد(هر چیز شامل اقلام و اجزا) قلم اولهر چیز به شکل:Aوابسته به حرف A* from A to Zاز الف تا ی، از اول تا آخر
