##name	300-ru-en
##sourceLang	Russian
##targetLang	English
Белл|Белла|Беллам|Беллами|Беллах|Белле|Беллов|Беллом|Беллу|Беллы	<font color="#007000">noun</font> Белл (m) <br>\nAlexander Graham Bell, American scientist who invented the telephone
Гвендолин|Гвендолина|Гвендолинам|Гвендолинами|Гвендолинах|Гвендолине|Гвендолинов|Гвендолином|Гвендолину|Гвендолины	<font color="#007000">noun</font> Гвендолин (f) <br>\nGwendolyn
Ирина|Ирин|Иринe|Иринам|Иринами|Иринах|Ирине|Ириной|Ириною|Ирину|Ирины	<font color="#007000">noun</font> Ирина (f) <br>\nIrene, female first name
Осмунд|Осмунда|Осмундам|Осмундами|Осмундах|Осмунде|Осмундов|Осмундом|Осмунду|Осмунды	<font color="#007000">noun</font> Осмунд (f) <br>\nOsmond, male first name
Турция|Турцией|Турциею|Турции|Турций|Турцию|Турциям|Турциями|Турциях	<font color="#007000">noun</font> Турция (f) <br>\nTurkey, country in western Asia and southeastern Europe between the Mediterranean Sea and the Black Sea
Уилли	<font color="#007000">noun</font> Уилли (m) <br>\nWilly, male first name (form of William)
абракадабра|абракадабр|абракадабрe|абракадабрам|абракадабрами|абракадабрах|абракадабре|абракадаброй|абракадаброю|абракадабру|абракадабры	<font color="#007000">noun</font> абракадабра (f) <br>\nabracadabra, word used when performing a magic trick
альтруист|альтруиста|альтруистам|альтруистами|альтруистах|альтруисте|альтруистка|альтруисткам|альтруистками|альтруистках|альтруистке|альтруистки|альтруисткой|альтруистку|альтруистов|альтруисток|альтруистом|альтруисту|альтруисты	<font color="#007000">noun</font> альтруист (m) <br>\naltruist, one unselfishly devoted to others, philanthropist
анонимка|анонимкe|анонимкам|анонимками|анонимках|анонимке|анонимки|анонимкой|анонимкою|анонимку|анонимок	<font color="#007000">noun</font> анонимка (f) <br>\nanonymous letter, unsigned letter
антилопа канна	<font color="#007000">noun</font><br>\neland
аптека|аптек|аптекe|аптекам|аптеками|аптеках|аптеке|аптеки|аптекой|аптекою|аптеку	<font color="#007000">noun</font> аптека (f) <br>\npharmacy, drugstore, dispensary, apothecary
батончик|батончика|батончикам|батончиками|батончиках|батончике|батончики|батончиков|батончиком|батончику	<font color="#007000">noun</font> батончик (m) <br>\nstick of confectionery
без дождя|без дождь	<font color="#007000">adjective</font><br>\nrainless
безголосый(transitive)|безголос|безголоса|безголосо|безголосы	<font color="#007000">adjective</font> безголосый<br>\nvoiceless
безносый(transitive)|безнос|безноса|безносо|безносы	<font color="#007000">adjective</font> безносый<br>\nnoseless
белеть(transitive)|белев|белевшая|белевшего|белевшее|белевшей|белевшем|белевшему|белевши|белевшие|белевший|белевшим|белевшими|белевших|белевшую|белеющая|белеющего|белеющее|белеющей|белеющем|белеющему|белеющие|белеющий|белеющим|белеющими|белеющих|белеющую|белея|забелев|забелевшая|забелевшаяся|забелевшего|забелевшегося|забелевшее|забелевшееся|забелевшей|забелевшейся|забелевшем|забелевшемся|забелевшему|забелевшемуся|забелевши|забелевшие|забелевшиеся|забелевший|забелевшийся|забелевшим|забелевшими|забелевшимися|забелевшимся|забелевшись|забелевших|забелевшихся|забелевшую|забелевшуюся	<font color="#007000">verb</font> белеть<br>\n<I>(also:<B>забелеть,забелеться</B>)</I> blanch, whiten; show white, go grey
бескомпромиссный|бескомпромиссная|бескомпромиссного|бескомпромиссное|бескомпромиссной|бескомпромиссном|бескомпромиссному|бескомпромиссную|бескомпромиссные|бескомпромиссным|бескомпромиссными|бескомпромиссных	<font color="#007000">adjective</font><br>\nuncompromising, intransigent, unyielding; hard core, straight-out
бледноватый(transitive)|бледноват|бледновата|бледновато|бледноваты	<font color="#007000">adjective</font> бледноватый<br>\npalish
блокнот|блокнота|блокнотам|блокнотами|блокнотах|блокноте|блокнотов|блокнотом|блокноту|блокноты	<font color="#007000">noun</font> блокнот (m) <br>\nnote book, writing pad, scratchpad, tablet, jotter
бодрить(transitive)|бодрив|бодрившая|бодрившего|бодрившее|бодрившей|бодрившем|бодрившему|бодривши|бодрившие|бодривший|бодрившим|бодрившими|бодривших|бодрившую|бодря|бодрящая|бодрящего|бодрящее|бодрящей|бодрящем|бодрящему|бодрящие|бодрящий|бодрящим|бодрящими|бодрящих|бодрящую	<font color="#007000">verb</font> бодрить<br>\ninvigorate, energize
бульварная пресса|бульварный пресса	<font color="#007000">noun</font><br>\ngutter press, tabloid press
быть деятельным|быть деятельный	be on one's toes
быть знатного рода|быть знатный род	be born in the purple
в отъезде|в отъезд	<font color="#007000">adverb</font><br>\nout of town
в разгаре|в разгар	<font color="#007000">adverb</font><br>\nin high gear, afloat, in full play
валиться|валилась|валились|валилось|валился|валимся|вались|валитесь|валится|валишься|валюсь|валятся	<font color="#007000">verb</font><br>\nfall, topple, fell; flake out, fold up
вальцевать|вальцевал|вальцевала|вальцевали|вальцевало|вальцуем|вальцует|вальцуете|вальцуешь|вальцуй|вальцуйте|вальцую|вальцуют	<font color="#007000">verb</font><br>\nroll
вафельный|вафельная|вафельного|вафельное|вафельной|вафельном|вафельному|вафельную|вафельные|вафельным|вафельными|вафельных	<font color="#007000">adjective</font><br>\nwaffle
вердикт|вердикта|вердиктам|вердиктами|вердиктах|вердикте|вердиктов|вердиктом|вердикту|вердикты	<font color="#007000">noun</font> вердикт (m) <br>\nverdict; deliverance
взмыть|взмоем|взмоет|взмоете|взмоешь|взмой|взмойте|взмою|взмоют|взмыл|взмыла|взмыли|взмыло	<font color="#007000">verb</font><br>\nzoom, rise suddenly
во цвете лет|в цвет лет	<font color="#007000">adjective</font><br>\nin the flower of one's age
возрастать(transitive)|возрастав|возраставшая|возраставшего|возраставшее|возраставшей|возраставшем|возраставшему|возраставши|возраставшие|возраставший|возраставшим|возраставшими|возраставших|возраставшую|возрастающая|возрастающего|возрастающее|возрастающей|возрастающем|возрастающему|возрастающие|возрастающий|возрастающим|возрастающими|возрастающих|возрастающую|возрастая	<font color="#007000">verb</font> возрастать<br>\nincrease, rise; redouble
воскресать|воскрес|воскресаем|воскресает|воскресаете|воскресаешь|воскресай|воскресайте|воскресал|воскресала|воскресали|воскресало|воскресаю|воскресают|воскресла|воскресли|воскресло|воскреснем|воскреснет|воскреснете|воскреснешь|воскресни|воскресните|воскресну|воскреснул|воскреснула|воскреснули|воскреснуло|воскреснут|воскреснуть	<font color="#007000">verb</font><br>\n<I>(perf. ><B>воскреснуть</B>)</I> resurrect; revive, resuscitate; arise, rise
всенощная|всенощной|всенощную|всенощные|всенощным|всенощными|всенощных	<font color="#007000">noun</font> всенощная (f) <br>\nvigil, time of prayer on the eve of a religious holiday; vespers, evening prayer service (Christianity)
вскочить(transitive)|вскочив|вскочившая|вскочившего|вскочившее|вскочившей|вскочившем|вскочившему|вскочивши|вскочившие|вскочивший|вскочившим|вскочившими|вскочивших|вскочившую	<font color="#007000">verb</font> вскочить<br>\njump into; jump on, jump upon; jump, start up
втягивающийся|втягивающаяся|втягивающегося|втягивающееся|втягивающейся|втягивающемся|втягивающемуся|втягивающиеся|втягивающимися|втягивающимся|втягивающихся|втягивающуюся	<font color="#007000">adjective</font><br>\nretractable
выкрашенный в пряже|выкрашенный в пряжа	<font color="#007000">adjective</font><br>\ndyed in the wool
выкручиваться(transitive)|выкрутившаяся|выкрутившегося|выкрутившееся|выкрутившейся|выкрутившемся|выкрутившемуся|выкрутившиеся|выкрутившийся|выкрутившимися|выкрутившимся|выкрутившись|выкрутившихся|выкрутившуюся|выкручивавшаяся|выкручивавшегося|выкручивавшееся|выкручивавшейся|выкручивавшемся|выкручивавшемуся|выкручивавшиеся|выкручивавшийся|выкручивавшимися|выкручивавшимся|выкручивавшись|выкручивавшихся|выкручивавшуюся|выкручивающаяся|выкручивающегося|выкручивающееся|выкручивающейся|выкручивающемся|выкручивающемуся|выкручивающиеся|выкручивающийся|выкручивающимися|выкручивающимся|выкручивающихся|выкручивающуюся|выкручиваясь	<font color="#007000">verb</font> выкручиваться<br>\n<I>(perf. ><B>выкрутиться</B>)</I> slip out; come unscrewed
выложить все	empty the bag
газель антидорка	<font color="#007000">noun</font><br>\nspringbok, springer
гальванизированный|гальванизированная|гальванизированного|гальванизированное|гальванизированной|гальванизированном|гальванизированному|гальванизированную|гальванизированные|гальванизированным|гальванизированными|гальванизированных	<font color="#007000">adjective</font><br>\ngalvanized
галька|галек|галькe|галькам|гальками|гальках|гальке|гальки|галькой|галькою|гальку	<font color="#007000">noun</font> галька (f) <br>\npebble, shingle
гибко	<font color="#007000">adverb</font><br>\npliably, flexibly; yieldingly, compliantly; supply
гиппопотам|гиппопотама|гиппопотамам|гиппопотамами|гиппопотамах|гиппопотаме|гиппопотамов|гиппопотамом|гиппопотаму|гиппопотамы	<font color="#007000">noun</font> гиппопотам (m) <br>\nhippopotamus, hippo
глист|глиста|глистам|глистами|глистах|глисте|глистов|глистом|глисту|глисты	<font color="#007000">noun</font> глист (m) <br>\nworm, helminth
глупеть|глупеем|глупеет|глупеете|глупеешь|глупей|глупейте|глупел|глупела|глупели|глупело|глупею|глупеют	<font color="#007000">verb</font><br>\ngrow stupid
голословный(transitive)|голословен|голословна|голословно|голословны	<font color="#007000">adjective</font> голословный<br>\nunfounded, baseless
горбатый(transitive)|горбат|горбата|горбато|горбаты	<font color="#007000">adjective</font> горбатый<br>\nhumpbacked, hunchbacked, having an abnormally protruding back due to a spinal deformity; camel back, humpy
грязная работа|грязный работа	nasty job
гусар|гусара|гусарам|гусарами|гусарах|гусаре|гусаров|гусаром|гусару|гусары	<font color="#007000">noun</font> гусар (m) <br>\nhussar, member of the Hungarian light cavalry; member of a European light cavalry regiment
дансинг|дансинга|дансингам|дансингами|дансингах|дансинге|дансинги|дансингов|дансингом|дансингу	<font color="#007000">noun</font> дансинг (m) <br>\ndancing hall, palais de dance
дачник|дачника|дачникам|дачниками|дачниках|дачнике|дачники|дачников|дачником|дачнику|дачниц|дачница|дачницам|дачницами|дачницах|дачнице|дачницей|дачницу|дачницы	<font color="#007000">noun</font> дачник (m) <br>\ncottager, summer resident
дверной звонок	<font color="#007000">noun</font><br>\ndoor bell
действовать в согласии|действовать в согласие	come into line
декогерировать|декогерировал|декогерировала|декогерировали|декогерировало|декогерируем|декогерирует|декогерируете|декогерируешь|декогерируй|декогерируйте|декогерирую|декогерируют	<font color="#007000">verb</font><br>\ndecohere
делать массаж	<font color="#007000">verb</font><br>\nmassage, give a massage
держаться незаметно	keep a low profile
детальность|детальностей|детальности|детальностью|детальностям|детальностями|детальностях	<font color="#007000">noun</font> детальность (f) <br>\nminuteness, detailed aspect
диада|диад|диадe|диадам|диадами|диадах|диаде|диадой|диадою|диаду|диады	<font color="#007000">noun</font> диада (f) <br>\ndyad
дивизионный|дивизионная|дивизионного|дивизионное|дивизионной|дивизионном|дивизионному|дивизионную|дивизионные|дивизионным|дивизионными|дивизионных	<font color="#007000">adjective</font><br>\ndivisional, squadron
додекаэдр|додекаэдра|додекаэдрам|додекаэдрами|додекаэдрах|додекаэдре|додекаэдров|додекаэдром|додекаэдру|додекаэдры	<font color="#007000">noun</font> додекаэдр (m) <br>\ndodecahedron
дорога с колеей|дорога с колея	<font color="#007000">noun</font><br>\ntrackway
дотошный|дотошная|дотошного|дотошное|дотошной|дотошном|дотошному|дотошную|дотошные|дотошным|дотошными|дотошных	<font color="#007000">adjective</font><br>\nmeticulous
дрянь человек	дрянь человек (mf) <br>\ndirty dog
дуэлянт|дуэлянта|дуэлянтам|дуэлянтами|дуэлянтах|дуэлянте|дуэлянтов|дуэлянтом|дуэлянту|дуэлянты	<font color="#007000">noun</font> дуэлянт (m) <br>\nduellist
