##name	Sample: English-Deutsch FreeDict+WikDict dictionary
##input_file_size	43472
##edition	2020.02.08
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Karl Bartel
##creationTime	2020-02-08
##description	Automatic creation of this bilingual dictionary by <a href="http://www.wikdict.com/">WikDict</a>.\nBase data from <a href="https://www.wiktionary.org/">Wiktionary.org</a> via <a href="http://kaiko.getalp.org/about-dbnary/">DBnary</a>.\nThis dictionary comes to you through nice people\nmaking it available for free and for good. It is part of\nthe FreeDict project, http://www.freedict.org/. This\nproject aims to make available many translating\ndictionaries for free. Your contributions are welcome!
##sourceLang	English
##targetLang	German
&	<div><div><font class="grammar" color="green">conjunction</font></div>abbreviation of and<div>u.</div></div>
-'s	<div>/<font color="gray">s</font>/, /<font color="gray">z</font>/, /<font color="gray">əz</font>/, /<font color="gray">ɪz</font>/<br>\n<div><font class="grammar" color="green">particle</font></div>possessive marker<ol><li><div>-s</div></li><li><div>der</div></li><li><div>des</div></li><li><div>von</div></li></ol></div>
able	<div>/<font color="gray">ə.bl̩</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li><div>bar</div></li><li>able to be done<ol><li><div>bar</div></li><li><div>abel</div></li></ol></li><li>expressing capacity or worthiness in a passive sense<div>wert</div></li></ol></div>
aemia	<div><div><font class="grammar" color="green">suffix</font></div>condition of the blood<div>ämie</div></div>
amine	<div><div><font class="grammar" color="green">suffix</font></div>an amine<div>amin</div></div>
an	<div><div><font class="grammar" color="green">suffix</font></div>of or pertaining to<div>isch</div></div>
ane	<div>/<font color="gray">eɪn</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>alkanes<div>an</div></div>
ation	<div><div><font class="grammar" color="green">suffix</font></div>-ation (suffix)<ol><li><div>ation</div></li><li><div>ierung</div></li></ol></div>
caine	<div><div><font class="grammar" color="green">suffix</font></div>a synthetic alkaloid used as an anesthetic<div>cain</div></div>
centric	<div><div><font class="grammar" color="green">suffix</font></div>having a specified number of centres<div>zentrisch</div></div>
cide	<div>/<font color="gray">-saɪd</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>killer of<div>örder</div></li><li>killing of<ol><li><div>zid</div></li><li><div>ord</div></li></ol></li></ol></div>
cracy	<div>/<font color="gray">-kɹəsi</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>rule<div>kratie</div></div>
cratic	<div>/<font color="gray">ˈkɹætɪk</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>suffix forming adjectives related to -cracy/-crat<div>kratisch</div></div>
cyte	<div>/<font color="gray">-saɪt</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>cell names and classifications<div>zyt</div></div>
diene	<div><div><font class="grammar" color="green">suffix</font></div><ol><li>diene</li><li>polymer of a diene</li></ol><div>dien</div></div>
ectomy	<div>/<font color="gray">-ˈɛktəmi</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>surgical removal of<ol><li><div>ektomie</div></li><li><div>[Amputation|-amputation]]</div></li><li><div>[Entfernung|-entfernung]]</div></li></ol></div>
ene	<div><div><font class="grammar" color="green">suffix</font></div>alkene<div>en</div></div>
er	<div>/<font color="gray">ə</font>/, /<font color="gray">ɚ</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>(used to form agent nouns) person or thing that does...</li><li>used to form the comparative of adjectives</li><li>used to form the comparative of adverbs</li></ol><div>er</div></div>
ese	<div><div><font class="grammar" color="green">suffix</font></div>forming adjectives and nouns describing things characteristic of a particular place<div>isch</div></div>
esque	<div>/<font color="gray">-ɛsk</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>in the style of<div>esk</div></div>
ess	<div>/<font color="gray">-ɛs</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>female suffix<ol><li><div>in</div></li><li><div>trix</div></li><li><div>öse</div></li></ol></div>
est	<div>/<font color="gray">əst</font>/, /<font color="gray">ɪst</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>superlative of adjectives and adverbs<ol><li><div>ste</div></li><li><div>ster</div></li><li><div>m ...-sten</div></li></ol></li><li>second-person singular present tense of verbs<div>st</div></li></ol></div>
fold	<div><div><font class="grammar" color="green">suffix</font></div><ol><li>used to make adjectives<ol><li><div>fach</div></li><li><div>fache</div></li></ol></li><li>used to make adverbs<ol><li><div>fach</div></li><li><div>faltig</div></li></ol></li></ol></div>
free	<div><div><font class="grammar" color="green">suffix</font></div>free from; without<div>frei</div></div>
gate	<div><div><font class="grammar" color="green">suffix</font></div>component in names of scandals<div>gate</div></div>
gen	<div><div><font class="grammar" color="green">suffix</font></div>producer of something<div>gen</div></div>
gon	<div><div><font class="grammar" color="green">suffix</font></div>plane figure<div>eck</div></div>
gram	<div><div><font class="grammar" color="green">suffix</font></div>something written<div>gramm</div></div>
graph	<div><div><font class="grammar" color="green">suffix</font></div>something related to writing etc.<div>graph</div></div>
graphy	<div>/<font color="gray">-ɡɹəfi</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>Suffix denoting a written or represented in the specified manner, or about a specified subject<div>graphie</div></div>
hedron	<div><div><font class="grammar" color="green">suffix</font></div>solid figure<div>eder</div></div>
hood	<div>/<font color="gray">hʊd</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>condition or state<ol><li><div>heit</div></li><li><div>keit</div></li><li><div>schaft</div></li></ol></li><li>group<div>schaft</div></li></ol></div>
hour-old	<div><div><font class="grammar" color="green">suffix</font></div>suffix used to indicate the age of something or someone, in terms of hours<div>stündig</div></div>
ian	<div>/<font color="gray">iːən</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>related to<div>isch</div></div>
iatry	<div><div><font class="grammar" color="green">suffix</font></div><div>iatrie</div></div>
ible	<div><div><font class="grammar" color="green">suffix</font></div>able to be done<div>bar</div></div>
ic	<div><div><font class="grammar" color="green">suffix</font></div>Note: these translations are a guide only. For more precise translations, see individual words ending in -ic<div>isch</div></div>
ics	<div><div><font class="grammar" color="green">suffix</font></div>fields of knowledge or practice<div>ik</div></div>
ide	<div><div><font class="grammar" color="green">suffix</font></div><ol><li><ol><li>any of a group of related compounds</li><li>binary compound of a nonmetal</li></ol><div>id</div></li><li>any of a group of several elements<ol><li><div>id</div></li><li><div>oid</div></li></ol></li></ol></div>
ify	<div>/<font color="gray">ɪfaɪ</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>to produce verbs meaning to make<div>fizieren</div></div>
-in-law	<div><div><font class="grammar" color="green">adjective</font></div>related through marriage<div>schwieger-</div></div>
ing	<div>/<font color="gray">iːn</font>/, /<font color="gray">ɪŋ</font>/, /<font color="gray">ɪŋɡ</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>act of doing something<div>ung</div></li><li>to form gerunds<div>u</div></li><li>to form present participles<div>end</div></li></ol></div>
ish	<div>/<font color="gray">ɪʃ</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div><ol><li>appended to adjectives<div>lich</div></li><li>appended to roots denoting names of nations or regions<div>isch</div></li><li>appended to words<div>haft</div></li></ol></div>
ism	<div>/<font color="gray">ɪzəm</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>a principle, belief or movement<div>ismus</div></div>
ist	<div>/<font color="gray">-əst</font>/, /<font color="gray">-ɪst</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>One who follows a particular ideology, doctrine, belief system or theory<div>ist</div></div>
ite	<div>/<font color="gray">-aɪt</font>/, /<font color="gray">-ɪt</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>used to form names of minerals and rocks<div>it</div></div>
itis	<div>/<font color="gray">-ˈaɪtɪs</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>suffix denoting diseases characterized by inflammation<div>itis</div></div>
itude	<div><div><font class="grammar" color="green">suffix</font></div>suffix<ol><li><div>itüde</div></li><li><div>tude</div></li></ol></div>
ity	<div>/<font color="gray">[ɪti]</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>Used to form nouns from adjectives.<div>ität</div></div>
ive	<div>/<font color="gray">ɪv</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>adjectival suffix: of the nature of; tending to<div>iv</div></div>
ization	<div>/<font color="gray">-ˈaɪzeɪʃən</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>act, process, or result of doing something<ol><li><div>isierung</div></li><li><div>isation</div></li></ol></div>
ize	<div>/<font color="gray">-aɪz</font>/<br>\n<div><font class="grammar" color="green">suffix</font></div>suffix used to form verbs<ol><li><div>ieren</div></li><li><div>isieren</div></li></ol></div>
