##name	Sample: English-Deutsch FreeDict+WikDict dictionary
##input_file_size	15117
##edition	2020.02.08
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Karl Bartel
##creationTime	2020-02-08
##description	Automatic creation of this bilingual dictionary by <a href="http://www.wikdict.com/">WikDict</a>.\nBase data from <a href="https://www.wiktionary.org/">Wiktionary.org</a> via <a href="http://kaiko.getalp.org/about-dbnary/">DBnary</a>.\nThis dictionary comes to you through nice people\nmaking it available for free and for good. It is part of\nthe FreeDict project, http://www.freedict.org/. This\nproject aims to make available many translating\ndictionaries for free. Your contributions are welcome!
##sourceLang	English
##targetLang	German
&	<div>conjunction</font><br>abbreviation of and<br><b>u.</b></div>
-'s	<div>/s</font>/, /z</font>/, /əz</font>/, /ɪz</font>/<br>\nparticle</font><br>possessive marker<br><b>-s</b>, <b>der</b>, <b>des</b>, <b>von</b></div>
able	<div>/ə.bl̩</font>/<br>\nsuffix</font><br><ol><li><b>bar</b></li><li>able to be done<br><b>bar</b>, <b>abel</b></li><li>expressing capacity or worthiness in a passive sense<br><b>wert</b></li></ol></div>
aemia	<div>suffix</font><br>condition of the blood<br><b>ämie</b></div>
amine	<div>suffix</font><br>an amine<br><b>amin</b></div>
an	<div>suffix</font><br>of or pertaining to<br><b>isch</b></div>
ane	<div>/eɪn</font>/<br>\nsuffix</font><br>alkanes<br><b>an</b></div>
ation	<div>suffix</font><br>-ation (suffix)<br><b>ation</b>, <b>ierung</b></div>
caine	<div>suffix</font><br>a synthetic alkaloid used as an anesthetic<br><b>cain</b></div>
centric	<div>suffix</font><br>having a specified number of centres<br><b>zentrisch</b></div>
cide	<div>/-saɪd</font>/<br>\nsuffix</font><br><ol><li>killer of<br><b>örder</b></li><li>killing of<br><b>zid</b>, <b>ord</b></li></ol></div>
cracy	<div>/-kɹəsi</font>/<br>\nsuffix</font><br>rule<br><b>kratie</b></div>
cratic	<div>/ˈkɹætɪk</font>/<br>\nsuffix</font><br>suffix forming adjectives related to -cracy/-crat<br><b>kratisch</b></div>
cyte	<div>/-saɪt</font>/<br>\nsuffix</font><br>cell names and classifications<br><b>zyt</b></div>
diene	<div>suffix</font><br><ol><li>diene</li><li>polymer of a diene</li></ol><b>dien</b></div>
ectomy	<div>/-ˈɛktəmi</font>/<br>\nsuffix</font><br>surgical removal of<br><b>ektomie</b>, <b>[Amputation|-amputation]]</b>, <b>[Entfernung|-entfernung]]</b></div>
ene	<div>suffix</font><br>alkene<br><b>en</b></div>
